,frequency,peak flux density,duty cycle,loss calculted by SE,loss calculted by iGSE,Measured loss,error for SE,error for iGSE,loss error percent by iGSE
1594,380000.0,0.0193,0.4,0.6656664895181409,11.764148667595109,13.9290596,0.9522102346724008,0.15542405550514637,1.1840261453315564
1595,380000.0,0.0214,0.4,0.8616226634702808,15.2272305547047,18.1919395,0.9526371191224398,0.16296827203582662,1.19469784309395
1596,380000.0,0.0242,0.4,1.1714532794501629,20.7027854843187,24.9704102,0.9530863421919211,0.170907273108445,1.2061377063928818
1597,380000.0,0.027,0.4,1.5399633349854662,27.215366704922403,32.6712402,0.9528648644631046,0.16699315549942292,1.20047032818745
1598,380000.0,0.0304,0.4,2.071057762985661,36.60125874832142,44.1261484,0.9530650682626617,0.170531304555885,1.2055910072224956
1599,380000.0,0.0339,0.4,2.7190820397998943,48.05362123418407,59.1436289,0.9540257828210488,0.1875097600887309,1.2307840154599379
1600,380000.0,0.0381,0.4,3.640358874421764,64.33510425483078,78.93310000000001,0.9538804522510612,0.18494137117596074,1.2269056048677047
1601,380000.0,0.0426,0.4,4.811367005998331,85.0300227579412,103.811391,0.9536528028412765,0.1809181830735589,1.220879256912874
1602,380000.0,0.0476,0.4,6.34855833431477,112.19640051858667,136.99595300000001,0.9536587892175562,0.1810239787259507,1.2210369705871713
1603,380000.0,0.0536,0.4,8.540374257542616,150.93178644963993,183.398688,0.9534327407099956,0.17702908294720224,1.2151097678897016
1604,380000.0,0.06,0.4,11.320220307538584,200.05927404309253,243.904734,0.9535875334525545,0.17976469434540562,1.2191623465926564
1605,380000.0,0.0666,0.4,14.691994074834483,259.6477443905775,322.229875,0.9544052391950483,0.19421579271451012,1.241027052849274
1606,380000.0,0.0749,0.4,19.701890553932763,348.186326274182,429.359625,0.954113313393329,0.18905666485482414,1.2331317820387278
1607,380000.0,0.0836,0.4,25.925858567619045,458.1808748481442,562.349688,0.9538972651343962,0.18523850083803342,1.227353036475782
1608,380000.0,0.0939,0.4,34.65697138874731,612.4835337301481,743.397,0.9533802646651152,0.17610168761758782,1.2137420176385192
1609,380000.0,0.1052,0.4,46.03383390760567,813.5438306658147,968.119125,0.9524502380762226,0.15966557249262625,1.190002417211718
1610,380000.0,0.1178,0.4,61.06784432564856,1079.2359398721176,1264.96612,0.9517237312840848,0.1468262091698412,1.1720941392573438
1611,380000.0,0.1314,0.4,80.23287721242788,1417.9345218942146,1628.7485,0.9507395541961035,0.12943310652675064,1.1486768076033296
1612,380000.0,0.1478,0.4,107.63613541128956,1902.2250915776356,2124.1385,0.9493271576164691,0.10447219351391844,1.1166599102308747
1613,390000.0,0.011,0.4,0.1704172747683133,3.0117396436045274,3.8685500000000004,0.9559480232210225,0.22148100874887824,1.2844901810204352
