,frequency,peak flux density,analytical loss,Measured loss,loss calculted by iGSE,loss calculted by SE,loss error percent by iGSE
518,270000.0,0.0295,0.0,55.2751797,32.47168856106145,0.1,1.7022576327084957
519,270000.0,0.0328,0.0,72.41475,42.320573956115766,0.1,1.7111003757909882
520,270000.0,0.0369,0.0,92.6781,56.79901189863078,0.1,1.6316850751805796
521,270000.0,0.0411,0.0,117.55057,74.35242748022732,0.1,1.5809916903017112
522,270000.0,0.046,0.0,149.827812,98.51381274986144,0.1,1.5208812634267952
523,270000.0,0.0518,0.0,194.507938,132.5360791053656,0.1,1.4675848215289895
524,270000.0,0.0581,0.0,251.310328,176.5469936749816,0.1,1.4234755447756633
525,270000.0,0.0647,0.0,325.275125,230.99181250792824,0.1,1.40816733488697
526,270000.0,0.072,0.0,419.180375,301.70572781725497,0.1,1.3893683027917196
527,270000.0,0.0816,0.0,556.384,412.4581288705082,0.1,1.348946622833266
528,270000.0,0.0915,0.0,708.933812,549.0573249855621,0.1,1.2911835973022343
529,270000.0,0.1015,0.0,908.066625,711.4575285868308,0.1,1.2763469195465458
530,280000.0,0.0105,0.0,6.94641,2.607669671293086,0.1,2.663838168028172
531,280000.0,0.0118,0.0,8.68731,3.490543861585832,0.1,2.4888127307625814
532,280000.0,0.0131,0.0,11.0567598,4.531944887380821,0.1,2.4397383628356772
533,280000.0,0.0145,0.0,13.8017402,5.8404594390368,0.1,2.3631257684542986
534,280000.0,0.0164,0.0,18.2305293,7.944020755682426,0.1,2.294874328841544
535,280000.0,0.0184,0.0,23.1067207,10.589741390529165,0.1,2.181991027719079
536,280000.0,0.0206,0.0,29.0245391,14.041728090166544,0.1,2.067020448880929
537,280000.0,0.023,0.0,36.5828789,18.49208789128953,0.1,1.9782989954980645
538,280000.0,0.0259,0.0,47.2207188,24.878428264738623,0.1,1.8980587639022264
539,280000.0,0.0286,0.0,59.658511700000005,31.87213035313113,0.1,1.8718080981411125
540,280000.0,0.0322,0.0,78.0473906,42.85909611494159,0.1,1.8210227857043169
541,280000.0,0.0362,0.0,99.6362,57.42264854645536,0.1,1.7351376594793178
542,280000.0,0.0405,0.0,125.962383,76.00840304410718,0.1,1.6572165438985063
543,280000.0,0.0453,0.0,158.91951600000002,100.54998201780556,0.1,1.5805026794719692
544,280000.0,0.0508,0.0,205.006641,133.87706879589769,0.1,1.5313051207637578
545,280000.0,0.056,0.0,261.880812,170.78148991366135,0.1,1.5334262052192773
546,280000.0,0.0637,0.0,346.938781,235.6234978592918,0.1,1.4724286166364562
547,280000.0,0.0707,0.0,437.977406,305.7292905643561,0.1,1.4325660625827592
548,280000.0,0.0799,0.0,585.3715,415.01121510373775,0.1,1.4104956172176657
549,280000.0,0.0896,0.0,750.55025,552.5522334987932,0.1,1.3583335737283546
550,280000.0,0.0997,0.0,952.867188,721.5355165697468,0.1,1.3206102348641513
551,290000.0,0.0107,0.0,7.2408,2.8930123283732376,0.1,2.502858328319519
552,290000.0,0.0121,0.0,9.30181,3.933309699530061,0.1,2.3648811587634073
553,290000.0,0.0136,0.0,11.79579,5.266846143834504,0.1,2.2396306400194423
554,290000.0,0.0152,0.0,15.5751904,6.953851024483041,0.1,2.2397935108421283
555,290000.0,0.0168,0.0,18.9870605,8.929175902959141,0.1,2.1264068158526994
556,290000.0,0.0188,0.0,24.4131094,11.826190486756818,0.1,2.0643257376361595
557,290000.0,0.0212,0.0,31.6178691,15.965994624945484,0.1,1.980325676084083
558,290000.0,0.0238,0.0,40.6483594,21.316126312876168,0.1,1.9069299366764423
559,290000.0,0.0266,0.0,51.2883281,28.14381942262056,0.1,1.8223655904634277
560,290000.0,0.0297,0.0,66.5737812,37.066697401994645,0.1,1.796053758930719
561,290000.0,0.0332,0.0,83.43535159999999,48.9610690202093,0.1,1.7041162145696
562,290000.0,0.037,0.0,107.535547,64.18377814298304,0.1,1.6754318631795349
563,290000.0,0.0417,0.0,140.667469,86.53018325868435,0.1,1.6256462624084682
564,290000.0,0.0467,0.0,178.185953,114.82360080598536,0.1,1.551823420875613
565,290000.0,0.0524,0.0,230.886812,153.10069144537923,0.1,1.5080716476213436
566,290000.0,0.0582,0.0,291.2185,199.009739493311,0.1,1.4633379287941246
567,290000.0,0.0652,0.0,383.743562,264.2999461294671,0.1,1.4519244805748976
568,290000.0,0.0737,0.0,498.845375,358.96409352467634,0.1,1.389680427648978
569,290000.0,0.0822,0.0,633.021875,471.494363740352,0.1,1.3425863036373429
570,290000.0,0.0918,0.0,828.278375,621.3228377675485,0.1,1.3330885727234099
571,300000.0,0.0105,0.0,7.66968,2.9152120375106234,0.1,2.6309166884990436
572,300000.0,0.0118,0.0,9.81012,3.9022103124388217,0.1,2.513990588546424
573,300000.0,0.0132,0.0,12.3612695,5.163602906535568,0.1,2.393923336814756
574,300000.0,0.0147,0.0,16.2132803,6.756584418461236,0.1,2.399626689440885
575,300000.0,0.0165,0.0,20.2863691,9.016820643870547,0.1,2.249836156360753
576,300000.0,0.0184,0.0,25.6571797,11.83867033299762,0.1,2.1672349156041966
577,300000.0,0.0207,0.0,33.158289100000005,15.888838790446664,0.1,2.086891908044078
578,300000.0,0.0232,0.0,42.3735195,21.125019840353676,0.1,2.0058451930566603
579,300000.0,0.0261,0.0,54.5595781,28.35217344914256,0.1,1.9243525791018332
580,300000.0,0.0291,0.0,70.1613203,37.20767274444285,0.1,1.885668065882431
581,300000.0,0.0325,0.0,88.3043,49.03679236920896,0.1,1.8007764320132769
582,300000.0,0.0363,0.0,113.0815,64.6388724866843,0.1,1.7494349088978145
583,300000.0,0.0406,0.0,146.164125,85.49776830031949,0.1,1.7095665525044332
584,300000.0,0.0456,0.0,186.637344,114.27757384999752,0.1,1.6331930904044483
585,300000.0,0.051,0.0,238.744047,151.1425884354398,0.1,1.5795948016463868
586,300000.0,0.0571,0.0,305.71903100000003,200.4302957329815,0.1,1.525313475599951
587,300000.0,0.0636,0.0,396.3945,262.38053179698534,0.1,1.510761859064707
588,300000.0,0.0721,0.0,520.0375,358.9458363036242,0.1,1.448791008011894
589,300000.0,0.0801,0.0,658.518812,466.86336217145737,0.1,1.4105172205784622
590,300000.0,0.0894,0.0,853.007,614.280078514413,0.1,1.3886287865022886
591,310000.0,0.0108,0.0,8.56842,3.297960070360879,0.1,2.5980969499919992
592,310000.0,0.0122,0.0,11.1331797,4.471881597916452,0.1,2.4895962597013286
593,310000.0,0.0134,0.0,13.5768799,5.653005063836685,0.1,2.4017101960254386
594,310000.0,0.0152,0.0,17.797099999999997,7.745114073408445,0.1,2.2978486606289463
595,310000.0,0.017,0.0,22.7625098,10.243624793078602,0.1,2.2221147552553995
596,310000.0,0.0191,0.0,28.8883691,13.703254552252943,0.1,2.108139273764748
597,310000.0,0.0212,0.0,35.8342305,17.782729200015012,0.1,2.0151142210482376
598,310000.0,0.024,0.0,47.0648281,24.24319703839115,0.1,1.941362272701446
599,310000.0,0.0264,0.0,58.5466484,30.76076255221158,0.1,1.9032898908349956
600,310000.0,0.0298,0.0,76.1402,41.63257164840946,0.1,1.8288613214434681
601,310000.0,0.0334,0.0,98.4514922,55.35662328576049,0.1,1.7784952613850076
602,310000.0,0.0374,0.0,125.80757,73.43346207638638,0.1,1.7132185578984882
603,310000.0,0.042,0.0,160.9365,98.11774184883592,0.1,1.6402385233034118
604,310000.0,0.0471,0.0,206.000547,130.64325650956815,0.1,1.576817300056454
605,310000.0,0.0526,0.0,266.60328100000004,172.15226983179602,0.1,1.5486480733625458
606,310000.0,0.0588,0.0,344.94443800000005,227.40740543749584,0.1,1.5168566623254047
607,310000.0,0.0657,0.0,433.362219,300.0460912071284,0.1,1.4443188286723605
608,310000.0,0.0735,0.0,567.248125,397.104855859955,0.1,1.4284593014396392
609,310000.0,0.083,0.0,742.710312,538.0059238362521,0.1,1.3804872383264908
610,310000.0,0.0925,0.0,950.783812,705.2797977279341,0.1,1.348094493934123
611,320000.0,0.0106,0.0,9.27838,3.313185627400572,0.1,2.8004407369349673
612,320000.0,0.0118,0.0,11.7409404,4.331140644787735,0.1,2.710819472955585
613,320000.0,0.0131,0.0,14.4001299,5.623333062130722,0.1,2.5607819670108043
614,320000.0,0.0147,0.0,18.5187305,7.499267095229314,0.1,2.4694053785310244
615,320000.0,0.0165,0.0,24.0168203,10.007948124410866,0.1,2.3997746592450273
616,320000.0,0.0186,0.0,30.3064199,13.499693035987647,0.1,2.244971038912424
617,320000.0,0.0207,0.0,37.8938203,17.635337404655175,0.1,2.1487437087536088
618,320000.0,0.0233,0.0,49.1035,23.700375017483253,0.1,2.0718448532471494
619,320000.0,0.0259,0.0,62.09775,30.86967994348345,0.1,2.0116097774155497
620,320000.0,0.0289,0.0,79.5509609,40.5921118808846,0.1,1.9597640333037631
621,320000.0,0.0324,0.0,102.4575,54.00950545365867,0.1,1.897027183259635
622,320000.0,0.0364,0.0,130.331617,72.23873507870086,0.1,1.8041791132971743
623,320000.0,0.0407,0.0,165.489953,95.48065931484204,0.1,1.7332301032223323
624,320000.0,0.0457,0.0,212.107297,127.53497669183102,0.1,1.663130401572309
625,320000.0,0.0505,0.0,267.383719,163.67757307782725,0.1,1.6336002176233477
626,320000.0,0.0572,0.0,355.433406,223.43613753082,0.1,1.5907606080550545
627,320000.0,0.0638,0.0,446.377969,293.514577633662,0.1,1.5208034047192303
628,320000.0,0.0715,0.0,582.63275,390.1701222850837,0.1,1.4932787436099233
629,320000.0,0.0803,0.0,759.76125,521.4192148423995,0.1,1.4571025163114484
630,330000.0,0.0109,0.0,9.93979,3.733536132881055,0.1,2.6622991304304775
631,330000.0,0.0122,0.0,12.7114697,4.947269973997787,0.1,2.5693907481924065
632,330000.0,0.0136,0.0,16.3120098,6.48975620714482,0.1,2.513501166968566
633,330000.0,0.0152,0.0,20.6386504,8.568467089650607,0.1,2.408674758747492
634,330000.0,0.017,0.0,25.8718906,11.332584786526782,0.1,2.282964662285949
635,330000.0,0.019,0.0,32.7684219,14.96248498165857,0.1,2.1900387495906224
636,330000.0,0.0212,0.0,41.1610508,19.673142121642464,0.1,2.092245892674086
637,330000.0,0.0239,0.0,53.4275,26.54209001735657,0.1,2.0129349258126377
638,330000.0,0.0266,0.0,68.5254375,34.678538503450504,0.1,1.9760186114297098
639,330000.0,0.0298,0.0,86.8249922,46.05836875297693,0.1,1.885107843607426
640,330000.0,0.0332,0.0,110.294008,60.32934946358925,0.1,1.8281981984003668
641,330000.0,0.0372,0.0,141.30842199999998,80.15891940950482,0.1,1.762853379773036
642,330000.0,0.0418,0.0,180.138734,107.2615500532121,0.1,1.6794343724347984
643,330000.0,0.0468,0.0,231.345422,142.2425966399409,0.1,1.626414502159331
644,330000.0,0.0524,0.0,297.593844,188.64917172280207,0.1,1.5774988105289929
645,330000.0,0.0583,0.0,380.749062,246.27178890997575,0.1,1.5460522851002725
646,330000.0,0.0658,0.0,500.744156,333.2064572201342,0.1,1.5028044779731904
647,330000.0,0.0736,0.0,636.52175,440.8142622485801,0.1,1.443968139218368
648,330000.0,0.0821,0.0,820.911938,579.2066730263829,0.1,1.4173040060306892
649,340000.0,0.0104,0.0,10.28375,3.4843700848335284,0.1,2.951394297856659
650,340000.0,0.0116,0.0,13.132,4.577206825499347,0.1,2.868998605621753
651,340000.0,0.0131,0.0,16.816289100000002,6.202099638266024,0.1,2.7113864789024062
652,340000.0,0.0146,0.0,20.9851309,8.131260833327103,0.1,2.5807966722687734
653,340000.0,0.0163,0.0,26.4775293,10.706774638363472,0.1,2.4729697032314752
654,340000.0,0.0183,0.0,33.8524609,14.2964069043333,0.1,2.367899929438856
655,340000.0,0.0206,0.0,43.4397305,19.216517162675228,0.1,2.260541290196654
656,340000.0,0.0231,0.0,55.4738789,25.582738779995992,0.1,2.168410480873803
657,340000.0,0.0257,0.0,70.5654922,33.393851911035874,0.1,2.1131282604951536
658,340000.0,0.0288,0.0,89.8136406,44.3839449894809,0.1,2.0235614617241895
659,340000.0,0.032,0.0,113.404219,57.74804204969347,0.1,1.9637759995813047
660,340000.0,0.0359,0.0,145.408125,76.96770545143146,0.1,1.8892095606482147
661,340000.0,0.0404,0.0,185.600281,103.37928270949628,0.1,1.7953334182202738
662,340000.0,0.0452,0.0,237.797656,136.8479909751748,0.1,1.7376773623453352
663,340000.0,0.0505,0.0,303.574375,180.52365128691267,0.1,1.6816321453498546
664,340000.0,0.0562,0.0,391.388781,235.81034395580156,0.1,1.659760867289854
665,340000.0,0.0636,0.0,509.288281,321.1945403200948,0.1,1.5856069050627557
666,340000.0,0.071,0.0,646.3475,422.8488900827237,0.1,1.5285543255737346
667,340000.0,0.079,0.0,833.1603120000001,552.1074248533624,0.1,1.5090547138019095
