,airgap,frequency,thickness,dis_ver,current,analytical ac/dc,measured ac/dc,dcloss,acloss,error,abs error
348,0.0005,683333.33333333,0.00010499999999999999,0.001,7.75,1.23777908412614,1.487219896856467,0.20045063867472,0.29811417817463,0.16772288567250165,0.16772288567250165
349,0.0005,683333.33333333,0.00010499999999999999,0.002,7.75,1.23777908412614,1.5602325014896183,0.20045063867472,0.31274960140465,0.20667010657425655,0.20667010657425655
350,0.0005,683333.33333333,0.00010499999999999999,0.003,7.75,1.23777908412614,1.5766953274104427,0.20045063867472,0.31604958537487,0.2149535407331594,0.2149535407331594
351,0.0005,788888.88888889,0.00010499999999999999,0.001,7.75,1.3067090472724703,1.543045558495585,0.20045063867472,0.30930446770463,0.1531623677096964,0.1531623677096964
352,0.0005,788888.88888889,0.00010499999999999999,0.002,7.75,1.3067090472724703,1.5902977303650405,0.20045063867472,0.31877619573463,0.17832427078134272,0.17832427078134272
353,0.0005,788888.88888889,0.00010499999999999999,0.003,7.75,1.3067090472724703,1.6248926016294472,0.20045063867472,0.32571075977445,0.1958182061004533,0.1958182061004533
354,0.0005,894444.4444444401,0.00010499999999999999,0.001,7.75,1.3803546884837035,1.5948135594898303,0.20045063867472,0.31968139656684,0.13447269101143755,0.13447269101143755
355,0.0005,894444.4444444401,0.00010499999999999999,0.002,7.75,1.3803546884837035,1.635228700491881,0.20045063867472,0.32778263739283,0.15586444387351497,0.15586444387351497
356,0.0005,894444.4444444401,0.00010499999999999999,0.003,7.75,1.3803546884837035,1.670198861696132,0.20045063867472,0.33479242854078,0.17353872036416312,0.17353872036416312
357,0.0005,1000000.0,0.00010499999999999999,0.001,7.75,1.45736627405754,1.647218758815667,0.20045063867472,0.33018605224158,0.11525638822534358,0.11525638822534358
358,0.0005,1000000.0,0.00010499999999999999,0.002,7.75,1.45736627405754,1.6801495041474477,0.20045063867472,0.33678704117537,0.13259726562425994,0.13259726562425994
359,0.0005,1000000.0,0.00010499999999999999,0.003,7.75,1.45736627405754,1.713037466218139,0.20045063867472,0.34337945417715,0.1492502045066431,0.1492502045066431
360,0.0005,50000.0,3.5000000000000004e-05,0.001,10.0,1.000017483640585,1.0066590017495434,0.99988998099252,1.0065482501253,0.0065975847803631015,0.0065975847803631015
361,0.0005,50000.0,3.5000000000000004e-05,0.002,10.0,1.000017483640585,1.0079395882530995,0.99988998099252,1.00782869574,0.007859701816300847,0.007859701816300847
362,0.0005,50000.0,3.5000000000000004e-05,0.003,10.0,1.000017483640585,1.008330649058321,0.99988998099252,1.0082197135211,0.008244483518873124,0.008244483518873124
363,0.0005,155555.55555556001,3.5000000000000004e-05,0.001,10.0,1.0001692133688886,1.0338872163087844,0.99988998099252,1.0337734690634,0.03261284442637451,0.03261284442637451
364,0.0005,155555.55555556001,3.5000000000000004e-05,0.002,10.0,1.0001692133688886,1.0453169902446686,0.99988998099252,1.0452019855069,0.04319051282732199,0.04319051282732199
365,0.0005,155555.55555556001,3.5000000000000004e-05,0.003,10.0,1.0001692133688886,1.0503490925470695,0.99988998099252,1.0502335341824,0.047774477584872264,0.047774477584872264
366,0.0005,261111.11111111002,3.5000000000000004e-05,0.001,10.0,1.0004767130980412,1.0698317064796177,0.99988998099252,1.0697140046571,0.06482794720096269,0.06482794720096269
367,0.0005,261111.11111111002,3.5000000000000004e-05,0.002,10.0,1.0004767130980412,1.091712170815987,0.99988998099252,1.0915920617265,0.0835709815800193,0.0835709815800193
368,0.0005,261111.11111111002,3.5000000000000004e-05,0.003,10.0,1.0004767130980412,1.102949559511838,0.99988998099252,1.102828214096,0.09290800792300138,0.09290800792300138
