,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
375,210000,0.0133,0.1,3.17764376,0.129145091,5.59457,1.760603272,43.32003607,0.43201287,0.976915993,1.760603272
575,320000,0.0105,0.1,3.184084133,0.129406839,9.08482,2.853197221,70.20355392,0.649515991,0.985755707,2.853197221
1903,60000,0.027,0.9,3.200222551,0.130062733,4.05484,1.26704938,31.17603257,0.210764777,0.967924078,1.26704938
98,90000,0.0215,0.1,3.204510801,0.130237015,3.57023,1.114126374,27.41332792,0.102435753,0.963521393,1.114126374
1419,310000,0.0123,0.4,3.219449165,0.186779562,3.1964,0.992840649,17.11322141,-0.007210977,0.941565648,0.992840649
2149,160000,0.0156,0.9,3.231226501,0.131322789,4.5672,1.413457088,34.77842677,0.292514779,0.971246543,1.413457088
148,110000,0.0193,0.1,3.247013417,0.131964397,3.96402,1.220820333,30.03855654,0.180878649,0.966709452,1.220820333
2216,190000,0.0142,0.9,3.254381494,0.132263849,5.07323,1.558892222,38.3568907,0.358518834,0.973929065,1.558892223
354,200000,0.0138,0.1,3.256996434,0.132370125,5.35539,1.644272602,40.45769391,0.391828339,0.975282823,1.644272602
2237,200000,0.0138,0.9,3.256996434,0.132370125,5.51051,1.691899304,41.62955954,0.408948276,0.975978607,1.691899304
558,310000,0.0108,0.1,3.270957154,0.132937513,8.70145,2.660215218,65.45518871,0.624090565,0.984722372,2.660215218
221,140000,0.0169,0.1,3.272533771,0.13300159,4.17258,1.275030387,31.3724069,0.215704967,0.968124856,1.275030387
452,250000,0.0122,0.1,3.277565702,0.133206096,6.84125,2.087296067,51.35838528,0.520911281,0.980528983,2.087296067
2336,250000,0.0122,0.9,3.277565702,0.133206096,6.93663,2.116396933,52.07441858,0.527498843,0.980796713,2.116396933
1,50000,0.0302,0.1,3.279418712,0.133281406,3.95581,1.206253409,29.68013408,0.170986799,0.96630743,1.206253409
1881,50000,0.0302,0.9,3.279418712,0.133281406,3.24639,0.989928486,24.35741112,-0.010173982,0.958944734,0.989928486
395,220000,0.0132,0.1,3.336402246,0.135597318,6.13395,1.838492348,45.23651419,0.456076061,0.977893964,1.838492348
2429,300000,0.0111,0.9,3.348289339,0.136080431,8.4708,2.52988889,62.24848009,0.604725724,0.983935351,2.52988889
290,170000,0.0153,0.1,3.357984309,0.136474452,4.65503,1.386257222,34.10916792,0.278633154,0.970682369,1.386257222
1978,90000,0.0219,0.9,3.362746472,0.136667994,3.86175,1.148391659,28.25643289,0.129216943,0.964609829,1.148391659
2514,350000,0.0102,0.9,3.367928944,0.136878619,9.64264,2.863077031,70.44664879,0.65072543,0.985804861,2.863077031
1613,390000,0.011,0.4,3.370689591,0.195553926,3.86855,1.147702835,19.7825228,0.128694319,0.94945033,1.147702835
1443,320000,0.0123,0.4,3.373499767,0.195716961,3.3804,1.002045423,17.27188069,0.002041248,0.942102425,1.002045423
2028,110000,0.0196,0.9,3.380643202,0.137395349,4.01226,1.186833321,29.20229854,0.157421702,0.96575612,1.186833321
608,340000,0.0104,0.1,3.395309825,0.137991427,10.9100303,3.213265022,79.06310223,0.688790065,0.987351875,3.213265022
471,260000,0.0121,0.1,3.398456747,0.138119323,7.63657,2.24706994,55.28965705,0.554976024,0.981913435,2.247069941
312,180000,0.0149,0.1,3.408328093,0.138520512,5.47217,1.605529119,39.50440206,0.377152374,0.974686365,1.605529119
2411,290000,0.0114,0.9,3.415313097,0.138804395,7.91403,2.317219469,57.01570184,0.5684483,0.982460972,2.317219469
489,270000,0.0119,0.1,3.439421881,0.139784219,8.11191,2.358509738,58.03165807,0.576003447,0.982768026,2.358509738
507,280000,0.0117,0.1,3.471288445,0.141079333,8.568,2.468247781,60.73178699,0.59485429,0.983534158,2.46824778
1321,270000,0.0137,0.4,3.482258379,0.202026701,3.18271,0.913978704,15.7539077,-0.094117396,0.936523685,0.913978704
